"title","authors__001","isbn","published","publisher","pagecount","description","subjects__001","subjects__002","subjects__003","subjects__004","audience__001","audience__002","audience__003","expertise__001","lessons","images__smallThumbnail","images__thumbnail","images__small","images__medium","images__large","images__extraLarge","amazon","worldcat","google","google_id","expertise__002","authors__002","audience__004","images","subjects__005","subjects__006","subjects__007","subjects__008","subjects__009","expertise__003","authors__003","subjects__010","authors__004"
"10 Great Makerspace Projects Using Social Studies","Kerry Hinton","1499438508","2017-07-15","The Rosen Publishing Group Inc","64","This book beings with explaining what social studies is and how it connects to the Maker Revolution.  It includes 10 projects that use making to teach about humans and history.  All of the projects include detailed instructions, estimated time commitment, materials and skill level.  Some projects include making Egyptian papyrus, laser cutting a jigsaw puzzle, photo editing yourself into history.","General Crafts/ Making","Makerspaces (General)","Juvenile Nonfiction / History / Other","Juvenile Nonfiction / Technology / How Things Work-Are Made","K-12","Libraries","General","Beginner","True","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71VEaE8D3JWdppw2bKHNKmT8eIKem8SoctRiU7F5z36zKnHFCwPJtcav9hcJslGkk__0-sjc873Rygsp5iONE8SejeyYsUyBog1lxGDxCyQHddsOVyDAV1-TDNzmreOvJ32Aa_0&source=gbs_api","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE731oKvSU0lv6soxizOW6FLehPbg7XMkDEOMaHWkQOP8Yk6f1S3GXFQjHhOwUdRYX-M_2OB2f3kq8J2N5Qg2ECHeUtEbZ33c38UDDnQicHwA5wiRjJvt4DiY5Jt8MRNshCJPJw-V&source=gbs_api","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE72X1pl9h__W35lV7WRAotIfKKRgFcCuuAXQC4Z64gznSdhp1lgGTYRzhUqxi2wDArL7zqOEZewerGBu0S_RT8ryNz_NBdy9HiUXJwmXFf_ysblrEGvhtBEspY8THzpQexT7lfU-&source=gbs_api","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=3&edge=curl&imgtk=AFLRE717AvA8m1MgBwvjqGJoJ4xym05AYlXPvFqEpYEhU16TgHJMUaU4R0NIf1GynF0COm3ekxQ2w4DyVnna5Wgu16PZ0MOmfMpsemzOCcQ4Z6ESyf0V-kojfKW0DuDQMiSZA9-5XQVV&source=gbs_api","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE71MnuGsBGqqZC73b3QxR3nKvK1pLRd-C870vAtDO8n7_-duSEOcLZiqR2NqshV6u-8-6ul622UyHLVWgXPc1bmYgk1jUxFmxwvu2olEP0v9igcJCJk4O3CRZwgvzJIrFPvAXQaP&source=gbs_api","http://books.google.com/books/content?id=y8xhDwAAQBAJ&printsec=frontcover&img=1&zoom=6&edge=curl&imgtk=AFLRE70RjvXtXpvQFuDHcASaUzk_jkoJyjc1j23xFc3sq-76wFlUtCg8y5Ea4XeWhm26lixdEqwbCkn71HKeSKcH0WYKRqd3EarkSOCGtIiuraYOdSq05oRMSpE2eRTmfHRHMWUVE91D&source=gbs_api","https://www.amazon.com/Makerspace-Projects-Social-Studies-Makerspaces/dp/1499438508/ref=sr_1_1?keywords=10+great+makerspace+projects+using+social+studies+Hinton+Kerry&qid=1572276323&sr=8-1","https://www.worldcat.org/title/10-great-makerspace-projects-using-social-studies/oclc/972092904&referer=brief_results","https://play.google.com/store/books/details?id=y8xhDwAAQBAJ","y8xhDwAAQBAJ","","","","","","","","","","","","",""
"25 Projects for Art Explorers","Christine Kirker","0838917399","2018-06-06","American Library Association","64","The book provides instructions on different art projects using a variety of materials and techniques. Each project is presented through an example of a picture book. Children see how it is used in the text. It is then followed by a list of materials required and instructions. The illustrations are imaginative and allow children to think of art as an imaginative and applied process.","General Crafting/Making","Language Arts & Disciplines / Library & Information Science / General","","","K-12","","","Beginner","True","http://books.google.com/books/content?id=W8tCuQEACAAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE70jLRdv_xTcpodPvNt8o_NvaldwSzSegueEyAR8UNsyvpQkUso4rdcT3zIlCFGLLqSjJEwyRM_YoUaCs_fCkbd_WlqW_219LBv8YfbcMmbhvmP-8JrB5ulkMW6Tjwc6DTRkhgdb&source=gbs_api","http://books.google.com/books/content?id=W8tCuQEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70JyRgtNnCqRb0cUasJHHMpRnquai-DYW6Du84gPRLtSDKgBIYOYzmy_h3un0wTsynbYOJIK1goIIJyRiFIh_ymhIoJ8UVQpfHyyJ25ZphAhvGZTtjp7zki-fIX5uaevQ9caVCx&source=gbs_api","","","","","https://www.amazon.com/Projects-Art-Explorers-Christine-Kirker/dp/0838917399/ref=sr_1_1?keywords=25+projects+for+art+explorers&qid=1570114504&s=gateway&sr=8-1","https://www.worldcat.org/title/25-projects-for-art-explorers/oclc/1040677777&referer=brief_results","https://play.google.com/store/books/details?id=W8tCuQEACAAJ","W8tCuQEACAAJ","","","","","","","","","","","","",""
"3D Animation for the Raw Beginner Using Autodesk Maya 2e","Roger King","1351172662","2019-02-07","CRC Press","434","<p>3D Animation for the Raw Beginner Using Autodesk Maya is a hands-on academic textbook as well as a do-it-yourself training manual for the individual animator. This second edition has been completely rewritten to take into account updates to Autodesk Maya, including Autodesk’s renderer, Arnold. It contains entirely new examples and tutorial lessons. All 612 images are in full color. The book directs the reader to the parts of Maya that must be mastered in order to create complete 3D projects, and thus it simplifies the process of taking on Maya’s vast and intricate interface, while giving the reader a firm foundation on which to build future knowledge of Maya. It also presents brief examples of other popular 3D applications and rendering engines. This principles-based, yet pragmatic book: </p> <ul> <p> <li>Introduces the basic steps of the 3D modeling, materials, animation, lighting, and rendering processes.</li> <p></p> <p> <li>Presents clear and concise tutorials that link key concepts to practical techniques.</li> <p></p> <p> <li>Includes access to a webpage for the book: https://buzzking.com/AnimationTextbook/AnimationTextbook.html. On this webpage are videos that cover many of the lessons in the book, <i>as well as video tutorials that present bonus material not included in the book</i>.</li> <p></p> <p> <li>Frees instructors from the painstaking task of developing step-by-step examples to present Maya’s complex interface and basic capabilities.</li> <p></p> <p> <li>Boasts an easy-to-follow, tutorial-based learning style ideal for individual study by aspiring animators and do-it yourselfers.</li> <p></p></ul> <p></p><b> <p>Roger ""Buzz"" King</b> is a Professor Emeritus at the University of Colorado at Boulder, where he teaches 3D Animation for the Computer Science Department and the Alliance for Technology, Learning, and Society (ATLAS), an institute dedicated to the application of technology to the arts. Buzz is an independent 3D animator who serves on the board of directors of a 3D animation startup. Buzz has a B.A. in Mathematics from Occidental College, an M.S. and Ph.D. in Computer Science from the University of Southern California, and an M.Div. from the Iliff School of Theology.</p> <p> </p> <p>Key Features</p> <li>Introduces critical aspects of the 3D animation process</li> <li>Presents clear and concise tutorials that link key concepts to practical techniques</li> <li>Includes access to a dedicated Web site, http://3dbybuzz.com, featuring useful videos, lessons, and updates</li> <li>Frees instructors from developing step-by-step examples to present Maya’s complex interface and basic</li> <li>Boasts an easy-to-follow, hands-on learning style ideal for individual study by aspiring animators and do-ityourselfers</li>","Computers / Computer Graphics","","","","","","","","False","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72YbYlfQ_hdQ1mgC8CgtfiZKT4zfKZeIJj1JK_kzoRzxH2aFh6XBiI76KMW2OGa3sbM7_RZMdPNKun8dOPOOxDgp9P2jaS075dJdUwBun6t1ZMUgabB_qmz9k7HlwIuLpVtVkNE&source=gbs_api","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71f_l4UG3abih97UAyaWIKjV-IkwBscQcPvv8dzDIYk6AQ_Oa6zu8LdUmVHK9ALtRvXdCWJ4fIuRTmlRnhwAVe0nxhKXMrG4PtlVBIb7BCacgAKcacXTy6VjhMQvQ4VqhV22c32&source=gbs_api","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE71zwCs_bCI78kyXZfRGSU83O-eUUSNEzICSOoYPTW65LRUCUe_E65CeEEjWEy8T4-IOgQCxlQ5SvRaDTVRfQsdl_m1VX9jBI0P5KVi4J8PI9yg4s6ZBQfQ7PmDVhKRpsqCUurlu&source=gbs_api","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=3&edge=curl&imgtk=AFLRE72bKm5QQL4koqxIYijDsEQx5Z__D5TxbgtHNWF99pFApHoEezUbz5mazs1bqRxXWR-aDXFULt71OHFX4K-RNlzew_CrzSeXXBb32QGPuBv47XGvKCbE8aymMrRa962SQHjbRibr&source=gbs_api","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE73qD2PpHqX19L3S3xzXdWwcekDX1JXM4hscbhITohcaFP0rUYo0--yepO3sxjbe7lMEbbrVH7bHeIOhIUbaBPTnyHGxRfjjQp442LZnQSjrewNC0J3I4TccKoV3XRi81AU89Ssc&source=gbs_api","http://books.google.com/books/content?id=4f-GDwAAQBAJ&printsec=frontcover&img=1&zoom=6&edge=curl&imgtk=AFLRE70nAiXc8oeb48Okm-TcrUuYKgnQApgy2gF1m4hlGC4N7ukyVfB_uUj4CTeCDVMfdomsnSdXTbdgmDkAmGudy0PwzK0SIutEDPcFRndN7aX2Edkf1b8Z6GWlT8OAEvf9uWp8Xq99&source=gbs_api","","","https://play.google.com/store/books/details?id=4f-GDwAAQBAJ","4f-GDwAAQBAJ","","","","","","","","","","","","",""
"3D Modeling","Theo Zizka","1631378120","2014-08-01","Cherry Lake","32","This book explores the basics of 3D modeling using the free SketchUp software.  It also suggests ways to  further develop your 3D modeling skills once you finish the book.","3D Modeling","Juvenile Nonfiction / Computers / Software","Juvenile Nonfiction / Computers / Programming","Juvenile Nonfiction / Computers / General","K-12","","","Beginner","True","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73IWRuGXX8SBrGuheNMvKRNS7NElEOJi_ut-SmwGEd-3GHB0m9pVxNRKOBhxr7gP0qtcdhRy6Tjj9jNps94mSLAupqnjkc-vTjBbXao4gqsfDL_DyfOcDT4FTJW452SmN51iY72&source=gbs_api","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73gLPK753V-BPNUYedB9JfELYJxI2V1D8wIRiddpYWD_xZ4TsqcPIf1gQX8X5bGIalsIQomq24UBOdn8cqWa_1wZJNJ6RtYKr4a77RUvvZ3Ma0yBBqjEJdUlu0QURBK4sYJ4k7-&source=gbs_api","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE72WEEgB3X41BU44huLwAMZc4xSdGaUGaykJ6YszwncbXTjp7khfE3UH4hnerp8g7yiWh7lUG0Q63tPSWuB5UP4mDqcwmgXtIZgYyy1_WuNGYOMgcjD7IyUoRyNSxZ-k-Cx3XS-F&source=gbs_api","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=3&edge=curl&imgtk=AFLRE70ilvxlLQ0R2XQEzN3XUwbW3yOWA4Ef4t425AnUxLJEj8p7RnHO_1ugFPt_tPzIjVpm4OwsMk15io1G5Jo5gph9Wa3ajotxs7Jn0EF9q4KWgQSxEdpq_WeuQQ4OBmlkrU6Qu2p0&source=gbs_api","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72FiTwPG0OMdHtksZEuSpTZqrhmvElB3jo1T6CWgVjUwjcm5jtLyxlsSgwxw5Y9XuFpUhZjw79KNWlJoKEToZ88baMOpVh-ruXhLN5Gd3x4NTsY6ULsph0F3JtBZFvvpY78uZmZ&source=gbs_api","http://books.google.com/books/content?id=o1-8BgAAQBAJ&printsec=frontcover&img=1&zoom=6&edge=curl&imgtk=AFLRE73anx56o-XWJEjCnyMW9VAJQ5CWLIES9Fxr4gqpUO3AsIH8KZJFBNFYdLRdIlBa2zuC_tokFsLMMogn9z-YwsWODCg0hKi6eIioEIPbvf4a1fPOTPfgzqa8H_b91r7lfdCYoh0W&source=gbs_api","https://www.amazon.com/Modeling-Century-Skills-Innovation-Library/dp/1631377922/ref=sr_1_1?keywords=3D+Modeling+%3A+21st+Century+Skills+Innovation+Library&qid=1575300157&sr=8-1","https://www.worldcat.org/title/3d-modeling-21st-century-skills-innovation-library/oclc/963796740&referer=brief_results","https://play.google.com/store/books/details?id=o1-8BgAAQBAJ","o1-8BgAAQBAJ","","","","","","","","","","","","",""
"3D Modeling and Printing with Tinkercad: Create and Print Your Own 3D Models","James Floyd Kelly","0133798119","2014-05-29","Que Publishing","99998","This book is perfect for a beginner in Tinkercad looking to learn how create and use a 3D model.  It Includes basic skills in 3D modeling using a model rocket ship as an example.After developing basic skills, it moves the project creation process, how to print your project, and other applications for your 3D models.","3D Modeling","Technology & Engineering / Robotics","Computers / CAD-CAM","","General","","","Beginner","True","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70Z-pkyWwOwO_RQX_zsGz0VqBZ03GVYWvfFRQKAtc2lJ2RIIaUfy9Jmnmnt_0PVgzBAZGYviLMXjk9aNje_-kEnQyEBzPXEdPQgwt-f0J5breOHsm6qZVlSfcFMXRSs_d6jNylp&source=gbs_api","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71_nOcnlqOy5g3YMqUTjGyo4vE66moFjZkoOjqx5QfwoQELD9l-uvSQ0B5Wq7YOHcwHVEHXSJrN-c7-HY8gzSeci0V0khA38C8LUlw3xuiw1mnHS23uq2BGfLkvkvE8HV8b6jry&source=gbs_api","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE73jT4Z5w8at7mG_OV5xovZlc0ouJfHG7TklhXV7lSUfwBZSihoWwkcB12hyBdHTh5bEQA-eB9UBXbyRLYH-kgC0eJFEtCd7Y--UGn0YlEp_-x2LhbPelJKGL0z_JR6phgiECtE_&source=gbs_api","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=3&edge=curl&imgtk=AFLRE73Z6nQewTzbG0KczyT8EwGT_0NL3QkGcmR8yvl2Fa-HYrx5PAc9FTH4S5iJdagllxJnBJ9kM8xk-_18g1quSzFM6qdkOFdOU0Mgq_1w15SmiWOP-4e6Uq5ny1_uywtFSv11Y2Pf&source=gbs_api","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72E_PSjFvnpmBAKp6V0SYV00xwPzfDZgbyqVkHG47W2dFYWzYwJriC3J7zKt_5okQqAvP7K7XUnCom32Upb0fxg2wRJ75mKloS51GGYW16heuqcUbNuBJq1ErwVFzqtoCzbfFo5&source=gbs_api","http://books.google.com/books/content?id=-y2tAwAAQBAJ&printsec=frontcover&img=1&zoom=6&edge=curl&imgtk=AFLRE726EP7lUNAPcNqsexWx_Ymnpd056V5dAICrPYRU5UoUrEkW17ukl7bhFYL0yoM4uRz_ojXaFXs2FfCkkenjbHfn5ca5qy1yZ89qr4DV_8K8LHmss4LALQTovF4zNs-dfEoAjnq2&source=gbs_api","https://www.amazon.com/3D-Modeling-Printing-Tinkercad-Create-ebook/dp/B00KMWVOZQ/ref=sr_1_1?keywords=3D+Modeling+and+Printing+with+Tinkercad%3A+Create+and+Print+Your+Own+3D+Models&qid=1575491004&sr=8-1","https://www.worldcat.org/title/3d-printing-build-your-own-3d-printer-and-print-your-own-3d-objects/oclc/865004049&referer=brief_results","https://play.google.com/store/books/details?id=-y2tAwAAQBAJ","-y2tAwAAQBAJ","","","","","","","","","","","","",""
"3D Modeling for Beginners: Learn Everything You Need to Know about 3D Modeling!","Danan Thilakanathan","1530799627","2016-03-27","CreateSpace Independent Publishing Platform","240","This concise and practical book covers the basics of 3D modeling as well as the author's personal tips for more efficient project creation.  It includes projects to help you practice the modeling in 3D such as creating a model of a face, a landscape, and more.","3D Modeling","","","","General","","","Beginner","True","http://books.google.com/books/content?id=M_DJDAEACAAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE719RgeyB6TYT4Aijb-5UcduUY58pQ5UxFn4F70vhXxtcCdBQ6PeTtbZR_hVm3t3Vuvx83dm2zIZfItj-AlkQtyzj--2AEl94w5FxQo3iRGkNJrc7tCd54mINxbtlUlTflvkVbtY&source=gbs_api","http://books.google.com/books/content?id=M_DJDAEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE7250N1lSsF4FvDaiYrnud59xAqqUiwf0m202rkUO7xeY5kfebb5mjc45peZ-TW0xOEYI_8toQtUoZPXLQ8E-aVxlV7PMD3FAgcjz-qi4yKr2DKCtPk5kVNDse7y9e7Ck_fo9eHy&source=gbs_api","","","","","https://www.amazon.com/3D-Modeling-Beginners-Learn-everything-ebook/dp/B01DJ2I930/ref=sr_1_1?keywords=3D+modeling+for+beginners+%3A+learn+everything+you+need+to+know+about+3D+modeling%21&qid=1575758323&sr=8-1","https://www.worldcat.org/title/3d-modeling-for-beginners-learn-everything-you-need-to-know-about-3d-modeling/oclc/959283280&referer=brief_results","https://play.google.com/store/books/details?id=M_DJDAEACAAJ","M_DJDAEACAAJ","Intermediate","","","","","","","","","","","",""
"3D Printing for Artists, Designers and Makers","Stephen Hoskins","1474248675","2018-02-08","Bloomsbury Academic","168","This book dives into the applications of 3D printing and analyzes how people have adapted this technology to enhance their fields of art.  This book is perfect for anyone interested in learning about the implications of 3D printing on how products are being made and how artisans are adapting.","Making Scholarship","Technology & Engineering / Industrial Design / Product","Art / Digital","Design / Product","Libraries","College/University","","Intermediate","False","http://books.google.com/books/content?id=ErY7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE70WpTO1hpuEF-5vHn8BZKV3M3JFErv3uL3eZvuuXdbQdt_94VnNDY_zaRdO_OmuMX61oM3oIcoeH7ggi7ao8d7SmzaY6U_mf_tzpjnr-MeEtrvgZPeCCSiYc2kmy02rVmsYiGIi&source=gbs_api","http://books.google.com/books/content?id=ErY7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71MSVoAK0LeXovGTz0hCSq1X3HFuu9E7Vw4NDUMBmJflpO8gfWzJdGjCi6IPvlWMLJO62l4ArzBrhYuH7EzjbpmL2woUy9hK9ka7bGV3NzNsEpBaaEkCUO85MVGfADL02IRqk2_&source=gbs_api","","","","","https://www.amazon.com/s?k=3D+printing+for+artists%2C+designers+and+makers&ref=nb_sb_noss","https://www.worldcat.org/title/3d-printing-for-artists-designers-and-makers/oclc/1120132360&referer=brief_results","https://play.google.com/store/books/details?id=ErY7DwAAQBAJ","ErY7DwAAQBAJ","","","","","","","","","","","","",""
"3D Printing For Dummies","Kalani Kirk Hausman","1118660684","2014-01-08","Wiley","384","This book is designed to teach you the basics of 3D Printing and is perfect for beginners.  It discusses the basics of 3D Printing, deciding what materials and printer to use, and the applications of 3D Printing.  These include art, manufacturing, and even food production.","3D Printing","Computers / Hardware / Peripherals","Computers / Hardware / General","","General","","","Beginner","False","http://books.google.com/books/content?id=fJmOAgAAQBAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE71LolSsYm_74m6oVETnbRT4QXF-oKWF571fMDH5jBMDQxHDYSYao5jcG2rLxU1H3wUXC2AFmlqo7-t5O1eSYzitr4NsOTQm1wfPlWUUHJyzJSoSlOjlAcT1ewqRHTp7T_nZ8vlM&source=gbs_api","http://books.google.com/books/content?id=fJmOAgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE725G9EpmNtCUzhD5CJYwk_dsoOOWPF_sov804t3kEMhTDS-hjjNxt954DBESCD2jGtSUWrw3o8xDAqcMMhwqcq_OWBN4WXvhkoVnJYK10acEVcdWaMDKXi8JXdz8vh5i9KeS55F&source=gbs_api","","","","","https://www.amazon.com/Printing-Dummies-Kalani-Kirk-Hausman/dp/1118660757/ref=sr_1_5?keywords=3D+printing+for+dummies&qid=1569256815&s=gateway&sr=8-5","https://www.worldcat.org/title/3d-printing-for-dummies/oclc/900057826&referer=brief_results","https://play.google.com/store/books/details?id=fJmOAgAAQBAJ","fJmOAgAAQBAJ","","Richard Horne","","","","","","","","","","",""
"3D Printing Projects","Dorling Kindersley","0241302218","2017-10-02","Dorling Kindersley Publishing Incorporated","96","This book starts with an introduction to 3D printing and 3D modeling before diving into projects designed for curious junior makers.  Projects you will find include a dinosaur stamp, a colorful photo frame, a fridge magnet, and many more.  Each project includes detailed instructions on modeling and printing the projects, as well as any finishing touches after printing.","3D Printing","JUVENILE NONFICTION / Computers / Software","JUVENILE NONFICTION / Technology / How Things Work-Are Made","JUVENILE NONFICTION / Technology / Inventions","K-12","","","Beginner","True","http://books.google.com/books/content?id=4iM8tAEACAAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE708q17VJ72cCaHqYl0q6i7qlIXW-HEaJ35QQxnt1BIL-_rjuugRKD5jjLP5PWCdPLQAH5_VB7f-hABB0gpQVz4dr36VMwDd_IoosCS48ffb_YacHjQt2baOzHMYuCE3pvlbG1ac&source=gbs_api","http://books.google.com/books/content?id=4iM8tAEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72jn64HjVx39JwD9JwEQ03lEIW8HGmUUocQX8SW1MUxj4PVpcp5KFoZnvsRQOmNDJSgobe6441HKWimkop9Ii6elFvWsvlqJBshFcd8iqT3yyF-DgNXBIAO6XEbLK9-U2v_kZnJ&source=gbs_api","","","","","https://www.amazon.com/3D-Printing-Projects-DK/dp/146546476X/ref=sr_1_1?keywords=3D+printing+projects+DK&qid=1575760202&sr=8-1","https://www.worldcat.org/title/3d-printing-projects/oclc/973084037&referer=brief_results","https://play.google.com/store/books/details?id=4iM8tAEACAAJ","4iM8tAEACAAJ","","","","","","","","","","","","",""
"3D Printing: A Practical Guide for Librarians","Sara Ann Russell Gonzalez","144225548X","2016","Rowman & Littlefield","173","This all encompassing book is aimed at Librarians looking to incorporate 3D printing into their library. Some of the many topics covered in ""3D Printing: A practical Guide for Librarians"" include choosing a 3D printer, addressing technical problems and faculty concerns that may arise, creating an effective outreach program using your 3D printer.","3D Printing","Language Arts & Disciplines / Library & Information Science / General","","","K-12","College/University","Libraries","Beginner","True","http://books.google.com/books/content?id=t3eHjgEACAAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE739n0rZVzqdgfD3BvPwrt5xDZ2zOrwZfarl7rXJZHzX6YEyiROTEJZUfksO8YtfEabL2evxeN1Q7Tq_KyTdDLHPFQW4Jv6mdS4GleZWSTJvSST4BrNqDvn7RTsaBE1l2Yam_qzW&source=gbs_api","http://books.google.com/books/content?id=t3eHjgEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72k4WAylmz68pwFK0V4dpE7q_u78Lug4OLSa_sUs8qIvXthqKfhLIeL6nWfVYET9qs-vakc0E5ggkH7J5LcDJFefotDaQuIDuUHokqKkdPjdJnuupLIad5bwVbUtlBtDgc0hIy8&source=gbs_api","","","","","https://www.amazon.com/3D-Printing-Practical-Librarians-Guides/dp/1442255471","https://www.worldcat.org/title/3d-printing-a-practical-guide-for-librarians/oclc/1028501464","https://play.google.com/store/books/details?id=t3eHjgEACAAJ","t3eHjgEACAAJ","Intermediate","Denise Beaubien Bennett","General","","","","","","","","","",""
